,MAE,RMSE,MAPE
ARIMA,53.184880290724834,70.84285900376305,39.485782371877015
SARIMA,198.79888249299506,381.7848394281992,210.33799928571187
RandomForest,148.1545429411765,246.80989718828107,165.346452835032
XGBoost,160.69845715691062,269.6685000429248,141.75679526207102
Prophet,115.04614684592674,140.09765377500426,113.6168603184004
